Iteration: 0, Fitness: 0.5
Iteration: 1, Fitness: 0.375
Iteration: 2, Fitness: 0.375
Iteration: 3, Fitness: 0.375
Iteration: 4, Fitness: 0.375
Iteration: 5, Fitness: 0.25
Iteration: 6, Fitness: 0.25
Iteration: 7, Fitness: 0.25
Iteration: 8, Fitness: 0.25
Iteration: 9, Fitness: 0.25
Iteration: 10, Fitness: 0.25
Iteration: 11, Fitness: 0.25
Iteration: 12, Fitness: 0.25
Iteration: 13, Fitness: 0.25
Iteration: 14, Fitness: 0.25
Iteration: 15, Fitness: 0.25
Iteration: 16, Fitness: 0.25
Iteration: 17, Fitness: 0.25
Iteration: 18, Fitness: 0.25
Iteration: 19, Fitness: 0.25
Iteration: 20, Fitness: 0.25
Iteration: 21, Fitness: 0.25
Iteration: 22, Fitness: 0.25
Iteration: 23, Fitness: 0.25
Iteration: 24, Fitness: 0.25
Iteration: 25, Fitness: 0.25
Iteration: 26, Fitness: 0.25
Iteration: 27, Fitness: 0.25
Iteration: 28, Fitness: 0.25
Iteration: 29, Fitness: 0.25
Iteration: 30, Fitness: 0.25
Iteration: 31, Fitness: 0.25
Iteration: 32, Fitness: 0.25
Iteration: 33, Fitness: 0.25
Iteration: 34, Fitness: 0.25
Iteration: 35, Fitness: 0.25
Iteration: 36, Fitness: 0.25
Iteration: 37, Fitness: 0.25
Iteration: 38, Fitness: 0.25
Iteration: 39, Fitness: 0.25
Iteration: 40, Fitness: 0.125
Iteration: 41, Fitness: 0.125
Iteration: 42, Fitness: 0.125
Iteration: 43, Fitness: 0.125
Iteration: 44, Fitness: 0.125
Iteration: 45, Fitness: 0.125
Iteration: 46, Fitness: 0.125
Iteration: 47, Fitness: 0.125
Iteration: 48, Fitness: 0.125
Iteration: 49, Fitness: 0.125
Iteration: 50, Fitness: 0.125
Iteration: 51, Fitness: 0.125
Iteration: 52, Fitness: 0.125
Iteration: 53, Fitness: 0.125
Iteration: 54, Fitness: 0.125
Iteration: 55, Fitness: 0.125
Iteration: 56, Fitness: 0.125
Iteration: 57, Fitness: 0.125
Iteration: 58, Fitness: 0.125
Iteration: 59, Fitness: 0.125
Iteration: 60, Fitness: 0.125
Iteration: 61, Fitness: 0.125
Iteration: 62, Fitness: 0.125
Iteration: 63, Fitness: 0.125
Iteration: 64, Fitness: 0.125
Iteration: 65, Fitness: 0.125
Iteration: 66, Fitness: 0.125
Iteration: 67, Fitness: 0.125
Iteration: 68, Fitness: 0.125
Iteration: 69, Fitness: 0.125
Iteration: 70, Fitness: 0.125
Iteration: 71, Fitness: 0.125
Iteration: 72, Fitness: 0.125
Iteration: 73, Fitness: 0.125
Iteration: 74, Fitness: 0.125
Iteration: 75, Fitness: 0.125
Iteration: 76, Fitness: 0.125
Iteration: 77, Fitness: 0.125
Iteration: 78, Fitness: 0.125
Iteration: 79, Fitness: 0.125
Iteration: 80, Fitness: 0.125
Iteration: 81, Fitness: 0.125
Iteration: 82, Fitness: 0.125
Iteration: 83, Fitness: 0.125
Iteration: 84, Fitness: 0.125
Iteration: 85, Fitness: 0.125
Iteration: 86, Fitness: 0.125
Iteration: 87, Fitness: 0.125
Iteration: 88, Fitness: 0.125
Iteration: 89, Fitness: 0.125
Iteration: 90, Fitness: 0.125
Iteration: 91, Fitness: 0.125
Iteration: 92, Fitness: 0.125
Iteration: 93, Fitness: 0.125
Iteration: 94, Fitness: 0.125
Iteration: 95, Fitness: 0.125
Iteration: 96, Fitness: 0.125
Iteration: 97, Fitness: 0.125
Iteration: 98, Fitness: 0.125
Iteration: 99, Fitness: 0.125
Iteration: 100, Fitness: 0.125
Iteration: 101, Fitness: 0.125
Iteration: 102, Fitness: 0.125
Iteration: 103, Fitness: 0.125
Iteration: 104, Fitness: 0.125
End at iteration: 105
Fitness Eval: 0.0
Fitness Train: 0.0
